Name,Edited,Attachments
Module 10: Amazon EC2 Auto Scaling,"June 9, 2026 3:01 PM",
Module 10: Lab 6 - Scale & Load Balance Architecture,"June 1, 2026 6:51 PM",
Module 10: Amazon CloudWatch,"June 1, 2026 6:13 PM",
Module 10: Elastic Load Balancing,"June 1, 2026 6:01 PM",
Module 9: AWS Trusted Advisor Tool,"June 1, 2026 4:15 PM",
Module 9: Reliability and Availability,"June 1, 2026 4:02 PM",
Module 9: Cost Optimization Pillar,"June 1, 2026 3:43 PM",
Module 9: Performance Efficiency Pillar,"June 1, 2026 3:34 PM",
Module 9: Reliability Pillar,"June 1, 2026 2:05 PM",
"Module 9: Security Pillar ","June 1, 2026 1:58 PM",
Module 9: Operational Excellence Pillar,"June 1, 2026 1:48 PM",
Module 9: AWS Well-Architected Framework,"June 1, 2026 1:36 PM",
Module 8: Amazon Aurora,"June 1, 2026 1:12 PM",
Module 8: Amazon RedShift,"June 1, 2026 12:25 PM",
Module 8: Dynamo DB,"June 1, 2026 12:06 PM",
Module 8: Lab 5 - Build a Database Server,"May 24, 2026 3:21 PM",
Module 8: Amazon RDS,"May 23, 2026 5:59 PM",
Module 7: AWS S3 Glacier,"May 23, 2026 5:14 PM",
Module 7: Amazon Elastic File System (EFS),"May 23, 2026 4:18 PM",
Module 7: AWS S3,"May 22, 2026 11:08 AM",
Module 7: Lab 4 - Working with EBS,"May 22, 2026 10:43 AM",
Module 7: Amazon Elastic Block Store (Amazon EBS),"May 22, 2026 10:09 AM",
Module 6: Lab - AWS Elastic Beanstalk,"May 21, 2026 11:08 PM",
Module 6: AWS Elastic Beanstalk,"May 21, 2026 11:05 PM",
Module 6: Lab - AWS Lambda,"May 21, 2026 4:59 PM",
Module 6: AWS Lambda,"May 21, 2026 4:55 PM",
Module 6: Container Services,"May 21, 2026 4:19 PM",
Module 6: Amazon EC2 Cost Optimization,"May 21, 2026 3:37 PM",
Module 6: Lab 3 - Introduction to Amazon EC2,"May 21, 2026 3:19 PM",
"Module 6: Amazon EC2 ","May 21, 2026 2:37 PM",
Module 6: Compute Services,"May 21, 2026 9:38 AM",
Module 5: Lab 2 - Build your VPC and Launch a Web Server,"May 20, 2026 3:42 PM",
Module 5: CloudFront,"May 20, 2026 3:35 PM",
"Module 5: Amazon Route 53 ","May 20, 2026 3:24 PM",
Module 5: VPC Security,"May 20, 2026 3:06 PM",
Module 5: VPC Networking,"May 19, 2026 9:50 PM",
Module 5: Amazon VPC,"May 11, 2026 9:59 AM",
Module 5: Networking Basics,"May 11, 2026 9:36 AM",
Module 4: Lab 1 - AWS IAM,"May 10, 2026 7:43 PM",
Module 4: Working to ensure Compliance,"May 10, 2026 7:11 PM",
Module 4: Securing data on AWS,"May 10, 2026 6:59 PM",
Module 4: Securing Accounts,"May 10, 2026 6:40 PM",
Module 4: Securing a new AWS Account,"May 10, 2026 6:19 PM",
Module 4: AWS IAM,"May 10, 2026 1:36 PM",
Module 4: AWS Cloud Security,"May 10, 2026 1:06 PM",
Module 3: AWS Services and Service Categories,"May 9, 2026 9:13 PM",
Module 3: AWS Global Infrastructure,"May 9, 2026 7:57 PM",
Module 2: AWS Billing,"May 9, 2026 6:06 PM",
Module 2 - AWS Organizations,"May 9, 2026 5:58 PM",
Module 2: TCO Case Study,"May 9, 2026 5:50 PM",
Module 2: Total Cost of Ownership,"May 9, 2026 5:44 PM",
Module 2: Fundamentals of Pricing,"May 9, 2026 5:03 PM",
Module 1: Introduction to Cloud Computing,"May 9, 2026 4:48 PM",
Module 1: Advantages of the Cloud,"May 9, 2026 4:47 PM",
Module 1: Amazon Web Services,"May 9, 2026 4:47 PM",
Module 1: Moving to the AWS Cloud,"May 9, 2026 4:47 PM",
